ThresholdType,CueType,T,N,K,P,Beta,Mu,Sigma,s,l,DOL,TaskSwitches,Loading,TimetoEq
Response Threshold,Task Demand,1,817,0.00109380218068014,0.563493408146753,9.15212743368057,0.63235924622541,0.0975404049994095,NaN,NaN,Inf,2913422,-1896475.76232554,1
Satisfaction Threshold,Task Demand,1,817,0.00109380218068014,0.563493408146753,9.15212743368057,0.63235924622541,0.0975404049994095,NaN,NaN,Inf,267874,-703917.762325539,3438
Composite Threshold,Task Demand,1,817,0.00109380218068014,0.563493408146753,9.15212743368057,0.63235924622541,0.0975404049994095,NaN,NaN,Inf,460814,-644895.762325539,4146
Random Choice,Task Demand,1,817,0.00109380218068014,0.563493408146753,9.15212743368057,0.63235924622541,0.0975404049994095,0.691117466740427,0.705598742376018,Inf,2851761,-2459750.76232554,1
Response Threshold,Task Completion,1,817,0.00109380218068014,0.563493408146753,9.15212743368057,0.63235924622541,0.0975404049994095,NaN,NaN,Inf,2943936,-1868324.76232554,1
Satisfaction Threshold,Task Completion,1,817,0.00109380218068014,0.563493408146753,9.15212743368057,0.63235924622541,0.0975404049994095,NaN,NaN,Inf,48363,-451995.762325539,4754
Composite Threshold,Task Completion,1,817,0.00109380218068014,0.563493408146753,9.15212743368057,0.63235924622541,0.0975404049994095,NaN,NaN,Inf,70422,-432956.762325539,4828
Random Choice,Task Completion,1,817,0.00109380218068014,0.563493408146753,9.15212743368057,0.63235924622541,0.0975404049994095,0.340561236468777,0.309770668151647,Inf,1323919,-2344691.76232554,1
Response Threshold,Task Demand,2,941,0.00120256098794393,0.848259753066253,2.08570610591355,0.641799054194795,0.823569700705853,NaN,NaN,0.00662960099852772,3809925,-2447918.1769748,1
Satisfaction Threshold,Task Demand,2,941,0.00120256098794393,0.848259753066253,2.08570610591355,0.641799054194795,0.823569700705853,NaN,NaN,0.179599651812313,578229,-1895789.1769748,1
Composite Threshold,Task Demand,2,941,0.00120256098794393,0.848259753066253,2.08570610591355,0.641799054194795,0.823569700705853,NaN,NaN,0.123529959824442,1117445,-728581.176974801,4196
Random Choice,Task Demand,2,941,0.00120256098794393,0.848259753066253,2.08570610591355,0.641799054194795,0.823569700705853,0.569340992461149,0.000534187609497194,0.138201028189001,5964,4894.82302519865,4917
Response Threshold,Task Completion,2,941,0.00120256098794393,0.848259753066253,2.08570610591355,0.641799054194795,0.823569700705853,NaN,NaN,0.000124899652164019,4318713,-2149091.1769748,1
Satisfaction Threshold,Task Completion,2,941,0.00120256098794393,0.848259753066253,2.08570610591355,0.641799054194795,0.823569700705853,NaN,NaN,0.108902883371875,220254,-716639.176974801,916
Composite Threshold,Task Completion,2,941,0.00120256098794393,0.848259753066253,2.08570610591355,0.641799054194795,0.823569700705853,NaN,NaN,0.105083569438167,881459,-629202.176974801,2549
Random Choice,Task Completion,2,941,0.00120256098794393,0.848259753066253,2.08570610591355,0.641799054194795,0.823569700705853,0.40354882623249,0.00151256235109065,0.0589463631595545,15193,-8820.17697480135,4901
Response Threshold,Task Demand,4,448,0.00204482465618317,0.755292543000667,7.76923221084565,0.342077342018179,0.204363427753248,NaN,NaN,0.00804293444236435,1816414,-112355.139919231,4669
Satisfaction Threshold,Task Demand,4,448,0.00204482465618317,0.755292543000667,7.76923221084565,0.342077342018179,0.204363427753248,NaN,NaN,0.284206062016074,475251,-42644.1399192314,1508
Composite Threshold,Task Demand,4,448,0.00204482465618317,0.755292543000667,7.76923221084565,0.342077342018179,0.204363427753248,NaN,NaN,0.339201442795489,456165,-51167.1399192314,1055
